annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Perugia - Terni,Perugia - Terni 82,82,Copertina 82 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False,accertata
82/83,Perugia - Terni,Perugia - Terni 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,48,dicembre 1982,,PGTR83.jpg,True,accertata
83/84,Perugia - Terni,Perugia - Terni 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,48,dicembre 1982,,PGTR84.jpg,True,accertata
84/85,Perugia - Terni,Perugia - Terni 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,48,dicembre 1984,Inserto Costituzione,PGTR85.jpg,True,accertata
85/86,Perugia - Terni,Perugia - Terni 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
86/87,Perugia - Terni,Perugia - Terni 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,48,novembre 1986,,PGTR87.jpg,True,accertata
87/88,Perugia,Perugia 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
87/88,Terni,Terni 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1987,,TR88.jpg,True,accertata
88/89,Perugia,Perugia 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,novembre 1988,,PG89.jpg,True,accertata
88/89,Terni,Terni 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1988,,TR89.jpg,True,accertata
89/90,Perugia,Perugia 90,90,Copertina 1990 blu,246 x 280 mm,grossa,TuttoCittà '80 classico,40,dicembre 1989,nota dell'editore,PG90.jpg,True,accertata
89/90,Terni,Terni 90,90,Copertina 1990 blu,246 x 280 mm,grossa,TuttoCittà '80 classico,16,dicembre 1989,nota dell'editore,TR90.jpg,True,accertata
90/91,Perugia,Perugia 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,dicembre 1990,,PG91.jpg,True,accertata
90/91,Terni,Terni 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,16,dicembre 1990,,TR91.jpg,True,accertata
91/92,Perugia,Perugia 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,dicembre 1991,,PG92.jpg,True,accertata
91/92,Terni,Terni 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,16,dicembre 1991,,TR92.jpg,True,accertata
92/93,Perugia,Perugia 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,40,dicembre 1992,,PG93.jpg,True,accertata
92/93,Terni,Terni 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,16,dicembre 1992,,TR93.jpg,True,accertata
93/94,Perugia,Perugia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,dicembre 1993,,PG94.jpg,True,accertata
93/94,Terni,Terni 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,dicembre 1993,,TR94.jpg,True,accertata
94/95,Perugia,Perugia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
94/95,Terni,Terni 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,dicembre 1994,,TR95.jpg,True,accertata
95/96,Perugia,Perugia 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Terni,Terni 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
96/97,Perugia,Perugia 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,38,dicembre 1996,Cambio formato,PG97.jpg,True,accertata
96/97,Terni,Terni 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,dicembre 1996,Cambio formato,TR97.jpg,True,accertata
97/98,Perugia,Perugia (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,Ricercato1.jpg,False,accertata
97/98,Terni,Terni (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,Ricercato1.jpg,False,accertata
